Titulo;Keywords;Abstract;Tipo;Tema
Gut Resistome After Oral Antibiotics in Preschool Children in Burkina Faso: A Randomized, Controlled Trial;ANTIMICROBIAL RESISTANCE;We evaluated the effect of systemic antibiotics (azithromycin, amoxicillin, cotrimoxazole, or placebo) on the gut resistome in children aged 6 to 59 months. Azithromycin and cotrimoxazole led to an increase in macrolide and sulfonamide resistance determinants. Resistome expansion can be induced with a single course of antibiotics.;0;Medi
Effect of Commonly Used Pediatric Antibiotics on Gut Microbial Diversity in Preschool Children in Burkina Faso: A Randomized Clinical Trial;DOUBLE-BLIND AZITHROMYCIN COTRIMOXAZOLE ASSOCIATION PREVALENCE MORTALITY OBESITY;"Background. Exposure to antibiotics may result in alterations to the composition of intestinal microbiota. However, few trials have been conducted, and observational studies are subject to confounding by indication. We conducted a randomized controlled trial to determine the effect of 3 commonly used pediatric antibiotics on the intestinal microbiome in healthy preschool children.

Methods. Children aged 6-59 months were randomized (1:1:1:1) to a 5-day course of 1 of 3 antibiotics, including amoxicillin (25 mg/kg/d twice-daily doses), azithromycin (10 mg/kg dose on day 1 and then 5 mg/kg once daily for 4 days), cotrimoxazole (240 mg once daily), or placebo. Rectal swabs were obtained at baseline and 5 days after the last dose and were processed using 16S rRNA gene sequencing. The prespecified primary outcome was inverse Simpson's alpha-diversity index.

Results. Post-treatment Simpson's diversity was significantly different across the 4 arms (P = .003). The mean Simpson's alpha-diversity among azithromycin-treated children was significantly lower than in placebo-treated children (6.6 95% confidence interval [CI], 5.5-7.8 vs 9.8 95% CI, 8.7-10.9 P = .0001). Diversity in children treated with amoxicillin (8.3 95% CI, 7.0-9.6 P = .09) or cotrimoxazole (8.3 95% CI, 8.2-9.7 P = .08) was not significantly different than placebo.

Conclusions. Azithromycin affects the composition of the pediatric intestinal microbiome. The effect of amoxicillin and cotrimoxazole on microbiome composition was less clear";0;Medi
Household Animal and Human Medicine Use and Animal Husbandry Practices in Rural Bangladesh: Risk Factors for Emerging Zoonotic Disease and Antibiotic Resistance;"PERUVIAN SHANTYTOWNANTIMICROBIAL USEESCHERICHIA-COLIFOOD ANIMALSCOMMUNITYPOULTRYHEALTHDISTRICTCHILDRENWORKERS
Author Information";Animal antimicrobial use and husbandry practices increase risk of emerging zoonotic disease and antibiotic resistance. We surveyed 700 households to elicit information on human and animal medicine use and husbandry practices. Households that owned livestock (n=265/459, 57.7%) reported using animal treatments 630 times during the previous 6months 57.6% obtained medicines, including antibiotics, from drug sellers. Government animal healthcare providers were rarely visited (9.7%), and respondents more often sought animal health care from pharmacies and village doctors (70.6% and 11.9%, respectively), citing the latter two as less costly and more successful based on past performance. Animal husbandry practices that could promote the transmission of microbes from animals to humans included the following: the proximity of chickens to humans (50.1% of households reported that the chickens slept in the bedroom) the shared use of natural bodies of water for human and animal bathing (78.3%) the use of livestock waste as fertilizer (60.9%) and gender roles that dictate that females are the primary caretakers of poultry and children (62.8%). In the absence of an effective animal healthcare system, villagers must depend on informal healthcare providers for treatment of their animals. Suboptimal use of antimicrobials coupled with unhygienic animal husbandry practices is an important risk factor for emerging zoonotic disease and resistant pathogens.;0;Medi
Human, animal and environmental contributors to antibiotic resistance in low-resource settings: integrating behavioural, epidemiological and One Health approaches;SPECTRUM BETA-LACTAMASEHOSPITAL WASTE-WATERESCHERICHIA-COLIANTIMICROBIAL RESISTANCECHINESE SWINEGENESPREVALENCEPOULTRYTRENDSSPREAD;Antibiotic resistance (ABR) is recognized as a One Health challenge because of the rapid emergence and dissemination of resistant bacteria and genes among humans, animals and the environment on a global scale. However, there is a paucity of research assessing ABR contemporaneously in humans, animals and the environment in low-resource settings. This critical review seeks to identify the extent of One Health research on ABR in low-and middle-income countries (LMICs). Existing research has highlighted hotspots for environmental contamination food-animal production systems that are likely to harbour reservoirs or promote transmission of ABR as well as high and increasing human rates of colonization with ABR commensal bacteria such as Escherichia coli. However, very few studies have integrated all three components of the One Health spectrum to understand the dynamics of transmission and the prevalence of community-acquired resistance in humans and animals. Microbiological, epidemiological and social science research is needed at community and population levels across the One Health spectrum in order to fill the large gaps in knowledge of ABR in low-resource settings.;0;Medi
Effect of Antibiotics on Short-Term Growth among Children in Burkina Faso: A Randomized Trial;SEVERE ACUTE MALNUTRITION MASS TREATMENT DOUBLE-BLIND GUT MICROBIOTA AZITHROMYCIN MORTALITY EXPOSURE MALARIA COTRIMOXAZOLE CHILDHOOD;Antibiotics improve both weight and height gain in randomized trials of preschool children with preexisting morbidity. Here, we assess the effect of a short course of three different antibiotics (amoxicillin, azithromycin, and cotrimoxazole) on short-term linear and ponderal growth in a population-based sample of preschool children in rural Burkina Faso. We randomized households with at least two children in the Nouna district, Burkina Faso, to a 5-day course of amoxicillin, azithromycin, cotrimoxazole, or placebo. Within each antibiotic-randomized household, one child was randomly assigned to receive the antibiotic and the other to receive the placebo. Weight and height measurements were taken at baseline and 30 days following the last study medication dose. Weight-for-height Z (WHZ), height-for-age Z (HAZ), and weight-for-age Z (WAZ) scores were calculated based on the 2006 World Health Organization standards. Of the 124 households and 248 children enrolled, 229 had anthropometry measurements at 1 month and were analyzed. Children randomized to amoxicillin gained significantly more weight compared with both the placebo household (mean difference 317 g, 95% confidence interval [CI]: 115-519 g) and placebo sibling (mean difference 315 g, 95% CI: 147-482 g) controls. Growth velocity in g/kg/day, and WHZ and WAZ scores were higher in amoxicillin-treated children compared with placebo households and siblings. There were no differences in weight gain in children randomized to azithromycin or cotrimoxazole compared with placebo households or placebo siblings. There were no differences in height gain or HAZ across any of the study arms. Amoxicillin may have short-term growth-promoting effects in healthy children.;0;Medi
Dietary diversity and nutritional status among children in rural Burkina Faso;RANDOMIZED CONTROLLED-TRIALMIDDLE-INCOME COUNTRIESMALARIAUNDERNUTRITIONMALNUTRITIONCHILDHOODPREDICTORGROWTH;"Background: Burkina Faso has a seasonal malnutrition pattern, with higher malnutrition prevalence during the rainy season when crop yields are low. We investigated the association between dietary diversity and nutritional status among children aged 6-59 mo during the low crop yield season in rural Burkina Faso to assess the role of dietary diversity during the lean season on childhood nutritional status.

Methods: Caregivers reported the dietary diversity of the past 7 d, consisting of 11 food groups, summed into a scale. Anthropometric measurements were taken from all children. Height-for-age (HAZ), weight-for-height (WHZ) and weight-for-age (WAZ) z-scores were calculated based on 2006 WHO standards. Stunting, wasting and underweight were defined as HAZ, WHZ and WAZ <-2 SD, respectively. Multivariable regression models adjusting for potential confounders including household food insecurity and animal ownership were used to assess the relationship between anthropometric indices and dietary diversity.

Results: Of 251 children enrolled in the study, 20.6% were stunted, 10.0% wasted and 13.9% underweight. Greater dietary diversity was associated with greater HAZ (SD 0.14, 95% CI 0.04 to 0.25) among all children. There was no association between dietary diversity and wasting or mid-upper arm circumference in this study.

Conclusions: Increasing dietary diversity may be an approach to reduce the burden of stunting and chronic malnutrition among young children in regions with seasonal food insecurity.";0;Medi
The analyses of human inherited disease and tissue-specific proteins in the interaction network;HUMAN PROTEOME GENES MEDICINE DRAFT;"Objectives: With the announcement of human proteome and interaction data, it becomes possible to comprehensively investigate the tissue-expression and network properties of inherited disease proteins. In this study, our goal was to develop methods to map the disease and expression data and analyze the disorder-tissue associations.

Methods: In this paper, we manually classified the human disease proteins into 22 disorder classes and systematically analyzed the properties of disease proteins in different disorder classes. Then, we investigated the similarity of different disorder classes by computing the overlap of different disorder proteins and networks. We proposed two novel measures, Enrichment Ratio and P-value for comparative analysis of disease proteins across tissues and revealed the associations between disorder classes and tissues/cells.

Results: Compared with non-disease proteins, disease proteins tend to express in more tissues, have higher expression levels and interact with more other proteins in the network. The overlap percentages of networks are much higher than those of proteins, implying that different disorder classes usually influence each other by means of their interacting neighbors. The metabolic, muscular and hematologic proteins are related with most tissues/cells, and cancer proteins are closely associated with the disorders in immune cells.

Conclusion: This paper provided novel methods to investigate proteome-wide disease proteins and their interacting networks in order to understand different disease's associations. (C) 2016 Elsevier Inc. All rights reserved.";1;Medi
Network medicine: a network-based approach to human disease;PROTEIN-INTERACTION NETWORK GENE-COEXPRESSION NETWORK TOPOLOGICAL FEATURES COMMUNITY STRUCTURE MOLECULAR NETWORKS SMALL-WORLD INTERACTOME CANCER MODULARITY DISCOVERY;Given the functional interdependencies between the molecular components in a human cell, a disease is rarely a consequence of an abnormality in a single gene, but reflects the perturbations of the complex intracellular and intercellular network that links tissue and organ systems. The emerging tools of network medicine offer a platform to explore systematically not only the molecular complexity of a particular disease, leading to the identification of disease modules and pathways, but also the molecular relationships among apparently distinct (patho)phenotypes. Advances in this direction are essential for identifying new disease genes, for uncovering the biological significance of disease-associated mutations identified by genome-wide association studies and full-genome sequencing, and for identifying drug targets and biomarkers for complex diseases.;0;Medi
Comparative Analysis of Human Tissue Interactomes Reveals Factors Leading to Tissue-Specific Manifestation of Hereditary Diseases;BETA-DYSTROGLYCAN GENE-EXPRESSION DATABASE NETWORKS CANCER IDENTIFICATION ASSOCIATION MUTATIONS PATHOLOGY DOMAIN;An open question in human genetics is what underlies the tissue-specific manifestation of hereditary diseases, which are caused by genomic aberrations that are present in cells across the human body. Here we analyzed this phenomenon for over 300 hereditary diseases by using comparative network analysis. We created an extensive resource of protein expression and interactions in 16 main human tissues, by integrating recent data of gene and protein expression across tissues with data of protein-protein interactions (PPIs). The resulting tissue interaction networks (interactomes) shared a large fraction of their proteins and PPIs, and only a small fraction of them were tissue-specific. Applying this resource to hereditary diseases, we first show that most of the disease-causing genes are widely expressed across tissues, yet, enigmatically, cause disease phenotypes in few tissues only. Upon testing for factors that could lead to tissue-specific vulnerability, we find that disease-causing genes tend to have elevated transcript levels and increased number of tissue-specific PPIs in their disease tissues compared to unaffected tissues. We demonstrate through several examples that these tissue-specific PPIs can highlight disease mechanisms, and thus, owing to their small number, provide a powerful filter for interrogating disease etiologies. As two thirds of the hereditary diseases are associated with these factors, comparative tissue analysis offers a meaningful and efficient framework for enhancing the understanding of the molecular basis of hereditary diseases.;0;Medi
Tissue specificity and the human protein interaction network;YEAST MAP EXPRESSION RESOURCE MOUSE COMPLEXES FRAMEWORK DATABASE REVEALS;A protein interaction network describes a set of physical associations that can occur between proteins. However, within any particular cell or tissue only a subset of proteins is expressed and so only a subset of interactions can occur. Integrating interaction and expression data, we analyze here this interplay between protein expression and physical interactions in humans. Proteins only expressed in restricted cell types, like recently evolved proteins, make few physical interactions. Most tissue-specific proteins do, however, bind to universally expressed proteins, and so can function by recruiting or modifying core cellular processes. Conversely, most 'housekeeping' proteins that are expressed in all cells also make highly tissue-specific protein interactions. These results suggest a model for the evolution of tissue-specific biology, and show that most, and possibly all, 'housekeeping' proteins actually have important tissue-specific molecular interactions. Molecular Systems Biology 7 April 2009 doi:10.1038/msb.2009.17;0;Medi
Exploring the human diseasome: the human disease network;PROTEIN-INTERACTION NETWORK MOLECULAR-BASIS COMPLEX INTERACTOME DISORDERS MEDICINE GENES BIOLOGY;Advances in genome-scale molecular biology and molecular genetics have greatly elevated our knowledge on the basic components of human biology and diseases. At the same time, the importance of cellular networks between those biological components is increasingly appreciated. Built upon these recent technological and conceptual advances, a new discipline called the network medicine, an approach to understand human diseases from a network point-of-view, is about to emerge. In this review article, we will survey some recent endeavours along this direction, centred on the concept and applications of the human diseasome and the human disease network. Questions, and partial answers thereof, such as how the connectivity between molecular parts translates into the relationships between the related disorders on a global scale and how central the disease-causing genetic components are in the cellular network, will be discussed. The use of the diseasome in combination with various interactome networks and other disease-related factors is also reviewed.;0;Medi
The human disease network;PROTEIN INTERACTION NETWORK TOPOLOGICAL FEATURES GENES INTERACTOME MODULARITY GENOMICS BIOLOGY YEAST;A network of disorders and disease genes linked by known disorder-gene associations offers a platform to explore in a single graph-theoretic framework all known phenotype and disease gene associations, indicating the common genetic origin of many diseases. Genes associated with similar disorders show both higher likelihood of physical interactions between their products and higher expression profiling similarity for their transcripts, supporting the existence of distinct disease-specific functional modules. We find that essential human genes are likely to encode hub proteins and are expressed widely in most tissues. This suggests that disease genes also would play a central role in the human interactome. In contrast, we find that the vast majority of disease genes are nonessential and show no tendency to encode hub proteins, and their expression pattern indicates that they are localized in the functional periphery of the network. A selection-based model explains the observed difference between essential and disease genes and also suggests that diseases caused by somatic mutations should not be peripheral, a prediction we confirm for cancer genes.;0;Medi
Online Mendelian Inheritance in Man (OMIM), a knowledgebase of human genes and genetic disorders;Biotechnology gene mutation genetics human electronically ;Online Mendelian Inheritance in Man (OMIM(TM)) is a comprehensive, authoritative and timely knowledgebase of human genes and genetic disorders compiled to support human genetics research and education and the practice of clinical genetics. Started by Dr Victor A. McKusick as the definitive reference Mendelian Inheritance in Man, OMIM (http://www.ncbi.nim.nih.gov/omim/) is now distributed electronically by the National Center for Biotechnology Information, where it is integrated with the Entrez suite of databases. Derived from the biomedical literature, OMIM is written and edited at Johns Hopkins University with input from scientists and physicians around the world. Each OMIM entry has a full-text summary of a genetically determined phenotype and/or gene and has numerous links to other genetic databases such as DNA and protein sequence, PubMed references, general and locus-specific mutation databases, HUGO nomenclature, MapViewer, GeneTests, patient support groups and many others. OMIM is an easy and straightforward portal to the burgeoning information in human genetics.;0;Medi
